country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
"Micronesia, Fed. Sts.",1970,NA,60.48,6.94,61433,NA,Oceania,Micronesia
New Caledonia,1970,NA,62.42,5.3,105025,1219920575,Oceania,Melanesia
New Zealand,1970,16.9,71.35,2.95,2819548,NA,Oceania,Australia and New Zealand
Papua New Guinea,1970,100.1,46.27,6.16,2434755,1624678937,Oceania,Melanesia
Samoa,1970,73,57.33,7.19,143175,NA,Oceania,Polynesia
Solomon Islands,1970,76.5,56.31,6.91,160292,NA,Oceania,Melanesia
Tonga,1970,39.6,64.58,5.94,84370,NA,Oceania,Polynesia
Vanuatu,1970,77.5,51.67,6.27,85388,NA,Oceania,Melanesia
Australia,1971,17.4,71.38,2.95,13150591,164954051790,Oceania,Australia and New Zealand
Fiji,1971,42.9,59.96,4.4,531601,769203456.9,Oceania,Melanesia
French Polynesia,1971,NA,60.52,4.98,114311,1070562421,Oceania,Polynesia
Kiribati,1971,94.8,50.21,5.67,52020,58180025.67,Oceania,Micronesia
"Micronesia, Fed. Sts.",1971,NA,60.89,6.93,62107,NA,Oceania,Micronesia
New Caledonia,1971,NA,62.95,5.26,109269,1305305448,Oceania,Melanesia
New Zealand,1971,16.5,71.8,3.02,2871810,NA,Oceania,Australia and New Zealand
Papua New Guinea,1971,97.1,46.97,6.14,2503074,1726955621,Oceania,Melanesia
Samoa,1971,NA,57.92,7.12,145437,NA,Oceania,Polynesia
Solomon Islands,1971,71.4,56.91,7.04,166214,NA,Oceania,Melanesia
Tonga,1971,37.4,64.88,5.76,85520,NA,Oceania,Polynesia
Vanuatu,1971,74.6,52.21,6.2,88023,NA,Oceania,Melanesia
Australia,1972,16.8,71.9,2.74,13364238,171438741659,Oceania,Australia and New Zealand
Fiji,1972,42.7,60.29,4.28,542811,826780467.1,Oceania,Melanesia
French Polynesia,1972,NA,60.84,4.89,118279,1020298673,Oceania,Polynesia
Kiribati,1972,92.6,50.61,5.35,52823,65207737.75,Oceania,Micronesia
"Micronesia, Fed. Sts.",1972,NA,61.3,6.89,62298,NA,Oceania,Micronesia
New Caledonia,1972,NA,63.46,5.17,114093,1349666247,Oceania,Melanesia
New Zealand,1972,16.2,71.92,2.9,2930469,NA,Oceania,Australia and New Zealand
Papua New Guinea,1972,94.4,47.63,6.11,2576093,1824417280,Oceania,Melanesia
Samoa,1972,NA,58.5,7.04,147323,NA,Oceania,Polynesia
Solomon Islands,1972,66.8,57.52,7.15,172599,NA,Oceania,Melanesia
Tonga,1972,35.3,65.17,5.62,86349,NA,Oceania,Polynesia
Vanuatu,1972,71.9,52.77,6.13,90824,NA,Oceania,Melanesia
Australia,1973,16.2,72.11,2.49,13552190,175937185452,Oceania,Australia and New Zealand
Fiji,1973,42.4,60.6,4.18,554109,922793396.9,Oceania,Melanesia
French Polynesia,1973,NA,61.15,4.79,122355,1099908100,Oceania,Polynesia
Kiribati,1973,90.8,51.02,5.1,53605,78842589.11,Oceania,Micronesia
"Micronesia, Fed. Sts.",1973,NA,61.71,6.84,62289,NA,Oceania,Micronesia
New Caledonia,1973,NA,63.95,5.03,119154,1198512959,Oceania,Melanesia
New Zealand,1973,15.8,71.78,2.73,2989985,NA,Oceania,Australia and New Zealand
Papua New Guinea,1973,91.7,48.27,6.08,2652586,1943538341,Oceania,Melanesia
Samoa,1973,NA,59.09,6.95,148889,NA,Oceania,Polynesia
Solomon Islands,1973,62.6,58.13,7.22,179354,NA,Oceania,Melanesia
Tonga,1973,33.5,65.44,5.51,86985,NA,Oceania,Polynesia
Vanuatu,1973,69.3,53.33,6.07,93761,NA,Oceania,Melanesia
Australia,1974,15.3,71.86,2.32,13725400,183090391005,Oceania,Australia and New Zealand
Fiji,1974,42,60.91,4.11,565386,946796652.3,Oceania,Melanesia
French Polynesia,1974,NA,61.47,4.67,126483,1297903095,Oceania,Polynesia
Kiribati,1974,89.5,51.41,4.96,54382,114560473.7,Oceania,Micronesia
"Micronesia, Fed. Sts.",1974,NA,62.12,6.77,62477,NA,Oceania,Micronesia
New Caledonia,1974,NA,64.44,4.83,123976,1350737470,Oceania,Melanesia
New Zealand,1974,15.4,72.03,2.61,3042573,NA,Oceania,Australia and New Zealand
Papua New Guinea,1974,89.2,48.9,6.04,2730859,1994275024,Oceania,Melanesia
Samoa,1974,NA,59.67,6.86,150219,NA,Oceania,Polynesia
Solomon Islands,1974,58.7,58.74,7.25,186338,NA,Oceania,Melanesia
Tonga,1974,31.9,65.69,5.45,87609,NA,Oceania,Polynesia
Vanuatu,1974,66.9,53.89,6,96793,NA,Oceania,Melanesia
Australia,1975,14.4,72.81,2.15,13892674,185369661015,Oceania,Australia and New Zealand
Fiji,1975,41.4,61.21,4.05,576592,951816653.4,Oceania,Melanesia
French Polynesia,1975,NA,61.82,4.55,130619,1234270769,Oceania,Polynesia
Kiribati,1975,88.5,51.81,4.9,55169,120683065.7,Oceania,Micronesia
"Micronesia, Fed. Sts.",1975,NA,62.5,6.68,63146,NA,Oceania,Micronesia
New Caledonia,1975,NA,64.91,4.6,128216,1438528271,Oceania,Melanesia
New Zealand,1975,14.9,72.3,2.46,3082883,NA,Oceania,Australia and New Zealand
Papua New Guinea,1975,86.9,49.54,6,2809692,1976727698,Oceania,Melanesia
Samoa,1975,NA,60.26,6.76,151383,NA,Oceania,Polynesia
Solomon Islands,1975,55.1,59.33,7.24,193447,NA,Oceania,Melanesia
Tonga,1975,30.4,65.93,5.43,88347,NA,Oceania,Polynesia
Vanuatu,1975,64.6,54.46,5.93,99879,NA,Oceania,Melanesia
Australia,1976,13.5,72.84,2.06,14054956,190251053754,Oceania,Australia and New Zealand
Fiji,1976,40.6,61.5,4.02,587523,977859900.1,Oceania,Melanesia
French Polynesia,1976,NA,62.23,4.42,134743,1335525607,Oceania,Polynesia
Kiribati,1976,87.7,52.2,4.93,55980,88378336.66,Oceania,Micronesia
"Micronesia, Fed. Sts.",1976,NA,62.85,6.59,64386,NA,Oceania,Micronesia
New Caledonia,1976,NA,65.37,4.35,131758,1471614396,Oceania,Melanesia
New Zealand,1976,14.4,72.5,2.37,3108745,NA,Oceania,Australia and New Zealand
Papua New Guinea,1976,84.6,50.21,5.95,2888509,1909747297,Oceania,Melanesia
Samoa,1976,NA,60.84,6.66,152390,NA,Oceania,Polynesia
Solomon Islands,1976,51.9,59.9,7.18,200642,NA,Oceania,Melanesia
Tonga,1976,29,66.16,5.44,89258,NA,Oceania,Polynesia
Vanuatu,1976,62.3,55.05,5.86,103024,NA,Oceania,Melanesia
Australia,1977,12.7,73.45,2.01,14211657,196878746322,Oceania,Australia and New Zealand
Fiji,1977,39.5,61.8,3.99,598258,1035592859,Oceania,Melanesia
French Polynesia,1977,NA,62.72,4.3,138867,1363291087,Oceania,Polynesia
Kiribati,1977,87.2,52.58,4.98,56815,84301742.39,Oceania,Micronesia
"Micronesia, Fed. Sts.",1977,NA,63.14,6.49,66110,NA,Oceania,Micronesia
New Caledonia,1977,NA,65.81,4.1,134710,1499572484,Oceania,Melanesia
New Zealand,1977,13.9,72.25,2.32,3122551,31541493669,Oceania,Australia and New Zealand
Papua New Guinea,1977,82.5,50.91,5.9,2967620,1925690171,Oceania,Melanesia
Samoa,1977,NA,61.44,6.55,153244,NA,Oceania,Polynesia
Solomon Islands,1977,48.9,60.43,7.1,207942,NA,Oceania,Melanesia
Tonga,1977,27.7,66.39,5.47,90296,NA,Oceania,Polynesia
Vanuatu,1977,59.9,55.64,5.79,106223,NA,Oceania,Melanesia
Australia,1978,12,73.84,1.95,14368543,198667157375,Oceania,Australia and New Zealand
Fiji,1978,38.2,62.09,3.97,609348,1054890128,Oceania,Melanesia
French Polynesia,1978,NA,63.28,4.19,143033,1498155466,Oceania,Polynesia
Kiribati,1978,86.8,52.97,5.03,57664,85195015.3,Oceania,Micronesia
"Micronesia, Fed. Sts.",1978,NA,63.37,6.4,68221,NA,Oceania,Micronesia
New Caledonia,1978,NA,66.25,3.88,137223,1646530695,Oceania,Melanesia
New Zealand,1978,13.5,73.14,2.19,3129098,31613826996,Oceania,Australia and New Zealand
Papua New Guinea,1978,80.6,51.65,5.84,3047769,2090333990,Oceania,Melanesia
Samoa,1978,NA,62.02,6.43,154010,NA,Oceania,Polynesia
Solomon Islands,1978,46.3,60.89,6.99,215353,NA,Oceania,Melanesia
Tonga,1978,26.6,66.61,5.51,91360,NA,Oceania,Polynesia
Vanuatu,1978,57.4,56.24,5.72,109429,NA,Oceania,Melanesia
Australia,1979,11.3,74.4,1.91,14532401,206839366822,Oceania,Australia and New Zealand
Fiji,1979,36.8,62.37,3.94,621541,1183848553,Oceania,Melanesia
French Polynesia,1979,NA,63.9,4.08,147299,1556971914,Oceania,Polynesia
Kiribati,1979,86.5,53.36,5.06,58509,75325178.94,Oceania,Micronesia
"Micronesia, Fed. Sts.",1979,NA,63.53,6.31,70550,NA,Oceania,Micronesia
New Caledonia,1979,NA,66.68,3.7,139545,1422602437,Oceania,Melanesia
New Zealand,1979,13.1,73.18,2.24,3135453,32227359317,Oceania,Australia and New Zealand
Papua New Guinea,1979,78.8,52.4,5.77,3130125,2128637163,Oceania,Melanesia
Samoa,1979,NA,62.62,6.32,154763,NA,Oceania,Polynesia
Solomon Islands,1979,43.9,61.27,6.87,222905,NA,Oceania,Melanesia
Tonga,1979,25.5,66.84,5.54,92299,NA,Oceania,Polynesia
Vanuatu,1979,54.8,56.83,5.65,112579,139843102.1,Oceania,Melanesia
Australia,1980,10.8,74.56,1.89,14708323,213135433499,Oceania,Australia and New Zealand
Fiji,1980,35.3,62.65,3.91,635256,1164866035,Oceania,Melanesia
French Polynesia,1980,NA,64.56,3.99,151702,1564521691,Oceania,Polynesia
Kiribati,1980,86.1,53.75,5.07,59340,41847584.9,Oceania,Micronesia
"Micronesia, Fed. Sts.",1980,50,63.64,6.22,72967,NA,Oceania,Micronesia
New Caledonia,1980,NA,67.09,3.55,141866,1416912105,Oceania,Melanesia
New Zealand,1980,12.7,72.98,2.15,3146771,32457368889,Oceania,Australia and New Zealand
Papua New Guinea,1980,77.1,53.11,5.69,3215483,2079605041,Oceania,Melanesia
Samoa,1980,55.6,63.2,6.2,155554,NA,Oceania,Polynesia
Solomon Islands,1980,41.9,61.53,6.75,230614,NA,Oceania,Melanesia
Tonga,1980,24.6,67.08,5.55,93007,NA,Oceania,Polynesia
Vanuatu,1980,52,57.41,5.58,115634,123901258.8,Oceania,Melanesia
Australia,1981,10.4,74.92,1.94,14898019,220398742356,Oceania,Australia and New Zealand
Fiji,1981,33.8,62.92,3.86,650957,1238601962,Oceania,Melanesia
French Polynesia,1981,NA,65.22,3.92,156240,1697580026,Oceania,Polynesia
Kiribati,1981,85.7,54.17,5.05,60137,40395127.89,Oceania,Micronesia
"Micronesia, Fed. Sts.",1981,44.4,63.71,6.13,75462,NA,Oceania,Micronesia
New Caledonia,1981,NA,67.5,3.44,144227,1317728266,Oceania,Melanesia
New Zealand,1981,12.4,73.77,2.16,3164965,33922769242,Oceania,Australia and New Zealand
Papua New Guinea,1981,75.5,53.74,5.61,3304188,2073889669,Oceania,Melanesia
Samoa,1981,54,63.79,6.09,156435,NA,Oceania,Polynesia
Solomon Islands,1981,40.2,61.59,6.63,238488,NA,Oceania,Melanesia
Tonga,1981,23.7,67.32,5.53,93452,120953144,Oceania,Polynesia
Vanuatu,1981,49.2,57.97,5.5,118578,129104682,Oceania,Melanesia
Australia,1982,10.1,74.7,1.93,15101227,227512907295,Oceania,Australia and New Zealand
Fiji,1982,32.4,63.2,3.81,668196,1164552296,Oceania,Melanesia
French Polynesia,1982,NA,65.84,3.86,160883,1866856569,Oceania,Polynesia
Kiribati,1982,85.1,54.62,5.02,60918,43136551.65,Oceania,Micronesia
"Micronesia, Fed. Sts.",1982,45,63.77,6.02,78057,NA,Oceania,Micronesia
New Caledonia,1982,NA,67.89,3.35,146592,1349353646,Oceania,Melanesia
New Zealand,1982,12.1,73.87,2.1,3188664,34122076179,Oceania,Australia and New Zealand
Papua New Guinea,1982,74,54.26,5.52,3395798,2081209365,Oceania,Melanesia
Samoa,1982,52.4,64.36,5.97,157401,175593116,Oceania,Polynesia
Solomon Islands,1982,38.8,61.46,6.53,246502,NA,Oceania,Melanesia
Tonga,1982,23,67.56,5.48,93683,126687844.5,Oceania,Polynesia
Vanuatu,1982,46.3,58.5,5.43,121433,142919034.1,Oceania,Melanesia
Australia,1983,9.8,75.51,1.92,15318254,222234528537,Oceania,Australia and New Zealand
Fiji,1983,31.2,63.46,3.76,685389,1118434637,Oceania,Melanesia
French Polynesia,1983,NA,66.39,3.81,165611,1967784808,Oceania,Polynesia
Kiribati,1983,84.2,55.08,4.97,61760,47011744.87,Oceania,Micronesia
"Micronesia, Fed. Sts.",1983,45.4,63.81,5.89,80678,NA,Oceania,Micronesia
New Caledonia,1983,NA,68.28,3.27,148988,1322366606,Oceania,Melanesia
New Zealand,1983,11.9,73.97,2.1,3215826,35085826695,Oceania,Australia and New Zealand
Papua New Guinea,1983,72.6,54.65,5.42,3489402,2148290132,Oceania,Melanesia
Samoa,1983,50.8,64.94,5.85,158383,176349983,Oceania,Polynesia
Solomon Islands,1983,37.6,61.16,6.43,254602,NA,Oceania,Melanesia
Tonga,1983,22.4,67.8,5.39,93775,129199320.6,Oceania,Polynesia
Vanuatu,1983,43.4,58.98,5.36,124248,162689159.4,Oceania,Melanesia
Australia,1984,9.6,75.98,1.84,15548591,232453957602,Oceania,Australia and New Zealand
Fiji,1984,30.1,63.71,3.69,700366,1212305127,Oceania,Melanesia
French Polynesia,1984,NA,66.87,3.77,170397,2074157078,Oceania,Polynesia
Kiribati,1984,83,55.56,4.91,62768,46437159.51,Oceania,Micronesia
"Micronesia, Fed. Sts.",1984,45.7,63.86,5.75,83242,NA,Oceania,Micronesia
New Caledonia,1984,NA,68.65,3.21,151427,1346169194,Oceania,Melanesia
New Zealand,1984,11.6,74.53,2.12,3243078,36847845727,Oceania,Australia and New Zealand
Papua New Guinea,1984,71.3,54.92,5.31,3583707,2140669593,Oceania,Melanesia
Samoa,1984,31.7,65.51,5.73,159281,178620583.8,Oceania,Polynesia
Solomon Islands,1984,36.5,60.74,6.35,262719,NA,Oceania,Melanesia
Tonga,1984,21.9,68.04,5.27,93838,131445316.4,Oceania,Polynesia
Vanuatu,1984,40.6,59.44,5.28,127094,178284602,Oceania,Melanesia
Australia,1985,9.3,75.41,1.92,15791043,244380207223,Oceania,Australia and New Zealand
Fiji,1985,29.1,63.96,3.63,711663,1156375707,Oceania,Melanesia
French Polynesia,1985,NA,67.27,3.74,175208,2186297273,Oceania,Polynesia
Kiribati,1985,81.4,56.04,4.86,64006,44295200.06,Oceania,Micronesia
"Micronesia, Fed. Sts.",1985,45.6,63.92,5.6,85689,NA,Oceania,Micronesia
New Caledonia,1985,NA,69.02,3.14,153929,1406746815,Oceania,Melanesia
New Zealand,1985,11.3,74.03,2.14,3268192,37135617884,Oceania,Australia and New Zealand
Papua New Guinea,1985,70.2,55.08,5.21,3677854,2226300453,Oceania,Melanesia
Samoa,1985,30.5,66.1,5.62,160030,185621605.9,Oceania,Polynesia
Solomon Islands,1985,35.6,60.26,6.28,270809,NA,Oceania,Melanesia
Tonga,1985,21.4,68.27,5.13,93953,140066096.5,Oceania,Polynesia
Vanuatu,1985,38,59.87,5.21,130028,180038903.5,Oceania,Melanesia
Australia,1986,9.1,76.08,1.87,16047026,255503272974,Oceania,Australia and New Zealand
Fiji,1986,28.2,64.2,3.57,718548,1245993741,Oceania,Melanesia
French Polynesia,1986,NA,67.59,3.7,180069,2369946312,Oceania,Polynesia
Kiribati,1986,79.5,56.5,4.8,65519,44984702.5,Oceania,Micronesia
"Micronesia, Fed. Sts.",1986,45.4,63.99,5.45,87948,163395772.3,Oceania,Micronesia
New Caledonia,1986,NA,69.37,3.09,156502,1392679297,Oceania,Melanesia
New Zealand,1986,11,74.28,2.16,3290132,37974476325,Oceania,Australia and New Zealand
Papua New Guinea,1986,69.1,55.19,5.11,3771578,2330781992,Oceania,Melanesia
Samoa,1986,29.4,66.67,5.51,160591,195839303.4,Oceania,Polynesia
Solomon Islands,1986,34.8,59.84,6.21,278846,NA,Oceania,Melanesia
Tonga,1986,20.9,68.48,4.99,94147,143033612.4,Oceania,Polynesia
Vanuatu,1986,35.7,60.27,5.14,133040,179801032.1,Oceania,Melanesia
Australia,1987,8.7,76.27,1.85,16314778,262027442116,Oceania,Australia and New Zealand
Fiji,1987,27.3,64.43,3.51,721725,1163571019,Oceania,Melanesia
French Polynesia,1987,NA,67.88,3.65,184958,2538212604,Oceania,Polynesia
Kiribati,1987,77.2,56.93,4.75,67262,43606882.34,Oceania,Micronesia
"Micronesia, Fed. Sts.",1987,45,64.07,5.3,90024,165356129.5,Oceania,Micronesia
New Caledonia,1987,NA,69.72,3.05,159180,1472062056,Oceania,Melanesia
New Zealand,1987,10.6,74.36,2.24,3310408,38551087263,Oceania,Australia and New Zealand
Papua New Guinea,1987,68.1,55.3,5.02,3865402,2395356163,Oceania,Melanesia
Samoa,1987,28.4,67.27,5.4,161014,196785390.1,Oceania,Polynesia
Solomon Islands,1987,34.1,59.58,6.14,286868,NA,Oceania,Melanesia
Tonga,1987,20.5,68.67,4.86,94399,147304099,Oceania,Polynesia
Vanuatu,1987,33.6,60.67,5.08,136129,174597595.6,Oceania,Melanesia
Australia,1988,8.4,76.3,1.83,16585905,277414269318,Oceania,Australia and New Zealand
Fiji,1988,26.4,64.66,3.47,722918,1174691917,Oceania,Melanesia
French Polynesia,1988,NA,68.15,3.58,189742,2599129674,Oceania,Polynesia
Kiribati,1988,74.7,57.33,4.7,69104,51562223.98,Oceania,Micronesia
"Micronesia, Fed. Sts.",1988,44.4,64.15,5.17,92020,169570897.4,Oceania,Micronesia
