country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
St. Lucia,1961,NA,57.75,6.93,90913,NA,Americas,Caribbean
St. Vincent and the Grenadines,1961,NA,58.96,7.16,82144,112069602.1,Americas,Caribbean
Suriname,1961,NA,61,6.59,298190,NA,Americas,South America
Trinidad and Tobago,1961,54.7,63.68,5.18,865356,3206251028,Americas,Caribbean
United States,1961,25.4,70.32,3.63,189077076,2536417088242,Americas,Northern America
Uruguay,1961,56.4,68.19,2.89,2571691,10879240250,Americas,South America
Venezuela,1961,58.1,60.69,6.64,8461684,42431452970,Americas,South America
Antigua and Barbuda,1962,NA,63.93,4.34,56311,NA,Americas,Caribbean
Argentina,1962,59.59,65.64,3.09,21287682,113228867667,Americas,South America
Aruba,1962,NA,66.44,4.47,56226,NA,Americas,Caribbean
Bahamas,1962,NA,62.58,4.45,121083,1596705340,Americas,Caribbean
Barbados,1962,61.2,62.79,4.27,232584,920985861.5,Americas,Caribbean
Belize,1962,NA,61.2,6.46,97389,95206560,Americas,Central America
Bolivia,1962,167.7,44.5,6.65,3838096,3234938744,Americas,South America
Brazil,1962,122.9,56.27,6.14,77007549,122227783364,Americas,South America
Canada,1962,26,71.25,3.77,18659663,185532543976,Americas,Northern America
Chile,1962,116.7,57.63,5.46,8054166,15418876405,Americas,South America
Colombia,1962,85.9,59.18,6.78,17500166,21113347503,Americas,South America
Costa Rica,1962,80.64,63.13,7.22,1432583,2569135008,Americas,Central America
Cuba,1962,NA,65.09,4.51,7450404,NA,Americas,Caribbean
Dominican Republic,1962,99.6,54.97,7.4,3521276,3452265961,Americas,Caribbean
Ecuador,1962,115.3,55.42,6.65,4812892,3866296550,Americas,South America
El Salvador,1962,121.6,53.5,6.75,2927861,4656688842,Americas,Central America
Greenland,1962,NA,62.22,7.09,33730,NA,Americas,Northern America
Grenada,1962,NA,61.49,6.44,92424,NA,Americas,Caribbean
Guatemala,1962,140.7,47.76,6.49,4356579,4307699952,Americas,Central America
Guyana,1962,62.9,59.41,5.49,600559,408446141,Americas,South America
Haiti,1962,188.3,43.26,6.3,4022596,NA,Americas,Caribbean
Honduras,1962,132.4,49.21,7.44,2139208,1618108290,Americas,Central America
Jamaica,1962,57.7,67.17,5.63,1681222,NA,Americas,Caribbean
Mexico,1962,94.9,58.49,6.77,40649590,103696598044,Americas,Central America
Nicaragua,1962,131.1,52.36,7.18,1886560,1944829723,Americas,Central America
Panama,1962,63.6,62.71,5.81,1202372,2316423139,Americas,Central America
Paraguay,1962,61.4,67.03,6.47,2005337,1370623898,Americas,South America
Peru,1962,129.1,50.14,6.86,10650672,19022886909,Americas,South America
Puerto Rico,1962,NA,69,4.41,2442157,10463734698,Americas,Caribbean
St. Lucia,1962,NA,58.47,6.88,92086,NA,Americas,Caribbean
St. Vincent and the Grenadines,1962,NA,59.99,7.07,83206,116209758,Americas,Caribbean
Suriname,1962,NA,61.41,6.56,306330,NA,Americas,South America
Trinidad and Tobago,1962,53.1,64.2,5.05,880019,3294181287,Americas,Caribbean
United States,1962,24.9,70.21,3.48,191860710,2691138530624,Americas,Northern America
Uruguay,1962,54.9,68.39,2.89,2603887,10707941295,Americas,South America
Venezuela,1962,56.6,61.3,6.63,8790590,46052100593,Americas,South America
Antigua and Barbuda,1963,NA,64.38,4.3,57368,NA,Americas,Caribbean
Argentina,1963,59.39,65.74,3.08,21621845,107218456504,Americas,South America
Aruba,1963,NA,66.79,4.27,56697,NA,Americas,Caribbean
Bahamas,1963,NA,62.85,4.36,127331,1764743540,Americas,Caribbean
Barbados,1963,57.6,63.27,4.2,233587,874214321.5,Americas,Caribbean
Belize,1963,NA,61.78,6.44,100166,99925400,Americas,Central America
Bolivia,1963,165,44.88,6.63,3913397,3442644495,Americas,South America
Brazil,1963,119.9,56.75,6.06,79368453,123296876305,Americas,South America
Canada,1963,25.1,71.26,3.68,19007305,195146424965,Americas,Northern America
Chile,1963,111.9,58.07,5.34,8237555,16361981977,Americas,South America
Colombia,1963,84.3,59.71,6.73,18033548,21726503327,Americas,South America
Costa Rica,1963,77.78,63.7,7.09,1484512,2692060708,Americas,Central America
Cuba,1963,41.8,65.71,4.61,7618359,NA,Americas,Caribbean
Dominican Republic,1963,98.1,55.75,7.3,3638628,3676763462,Americas,Caribbean
Ecuador,1963,112.3,56.01,6.62,4953735,4016140989,Americas,South America
El Salvador,1963,119.4,54.18,6.74,3015885,4857179945,Americas,Central America
Greenland,1963,NA,62.59,7.04,35038,NA,Americas,Northern America
Grenada,1963,NA,61.93,6.2,93354,NA,Americas,Caribbean
Guatemala,1963,138,48.4,6.46,4476923,4718699494,Americas,Central America
Guyana,1963,61,59.58,5.4,618887,358294439.1,Americas,South America
Haiti,1963,185.2,43.82,6.27,4103732,NA,Americas,Caribbean
Honduras,1963,128.4,49.94,7.44,2211144,1676043632,Americas,Central America
Jamaica,1963,55.8,67.74,5.71,1709690,NA,Americas,Caribbean
Mexico,1963,90.8,58.96,6.77,41939880,112103163998,Americas,Central America
Nicaragua,1963,129.7,53.19,7.11,1943591,2138207607,Americas,Central America
Panama,1963,61.9,63.22,5.77,1238824,2511526589,Americas,Central America
Paraguay,1963,60.9,67.33,6.45,2058916,1423698934,Americas,South America
Peru,1963,125.4,50.7,6.84,10961539,19730642246,Americas,South America
Puerto Rico,1963,NA,69.21,4.25,2491284,11551922879,Americas,Caribbean
St. Lucia,1963,NA,59.11,6.82,93397,NA,Americas,Caribbean
St. Vincent and the Grenadines,1963,NA,60.93,6.98,84167,108928800.2,Americas,Caribbean
Suriname,1963,NA,61.81,6.5,314530,NA,Americas,South America
Trinidad and Tobago,1963,51.5,64.63,4.87,892571,3478806874,Americas,Caribbean
United States,1963,24.4,70.04,3.35,194513911,2809548625972,Americas,Northern America
Uruguay,1963,53.6,68.55,2.87,2635128,10726193929,Americas,South America
Venezuela,1963,55.3,61.91,6.58,9130346,47848570687,Americas,South America
Antigua and Barbuda,1964,NA,64.81,4.25,58500,NA,Americas,Caribbean
Argentina,1964,59.25,65.84,3.07,21953926,118080005266,Americas,South America
Aruba,1964,NA,67.11,4.06,57029,NA,Americas,Caribbean
Bahamas,1964,NA,63.13,4.22,133697,1950069250,Americas,Caribbean
Barbados,1964,54.4,63.74,4.09,234547,917967662,Americas,Caribbean
Belize,1964,NA,62.36,6.42,103070,104921536,Americas,Central America
Bolivia,1964,162.2,45.24,6.61,3990855,3607704142,Americas,South America
Brazil,1964,117.1,57.21,5.95,81751802,127594490403,Americas,South America
Canada,1964,24,71.64,3.51,19349346,208220175172,Americas,Northern America
Chile,1964,105.1,58.54,5.19,8423614,16798498659,Americas,South America
Colombia,1964,82.6,60.21,6.66,18581972,23160961294,Americas,South America
Costa Rica,1964,75.1,64.26,6.89,1537035,2803755710,Americas,Central America
Cuba,1964,40.4,66.35,4.64,7787149,NA,Americas,Caribbean
Dominican Republic,1964,96.4,56.52,7.19,3757962,3925491550,Americas,Caribbean
Ecuador,1964,109.6,56.53,6.59,5099470,4329877471,Americas,South America
El Salvador,1964,117.4,54.81,6.7,3106186,5310184301,Americas,Central America
Greenland,1964,NA,62.97,7.27,36441,NA,Americas,Northern America
Grenada,1964,NA,62.35,5.91,94066,NA,Americas,Caribbean
Guatemala,1964,135.3,49.05,6.43,4600846,4937316476,Americas,Central America
Guyana,1964,59.5,59.75,5.33,635778,398997699.3,Americas,South America
Haiti,1964,182.2,44.38,6.23,4186636,NA,Americas,Caribbean
Honduras,1964,124.5,50.65,7.44,2282764,1766828975,Americas,Central America
Jamaica,1964,54,68.25,5.78,1737616,NA,Americas,Caribbean
Mexico,1964,89.3,59.4,6.77,43264267,125449584624,Americas,Central America
Nicaragua,1964,128.2,54.04,7.05,2002119,2375786760,Americas,Central America
Panama,1964,60.4,63.72,5.71,1276274,2625299370,Americas,Central America
Paraguay,1964,60.5,67.61,6.41,2114095,1479030545,Americas,South America
Peru,1964,121.8,51.25,6.8,11281015,21032920217,Americas,South America
Puerto Rico,1964,NA,69.45,4.08,2537637,12373336953,Americas,Caribbean
St. Lucia,1964,NA,59.66,6.76,94813,NA,Americas,Caribbean
St. Vincent and the Grenadines,1964,NA,61.75,6.88,85076,112926190,Americas,Caribbean
Suriname,1964,NA,62.23,6.41,322995,NA,Americas,South America
Trinidad and Tobago,1964,50.1,64.94,4.66,903272,3744257235,Americas,Caribbean
United States,1964,23.8,70.33,3.22,197028908,2972502446278,Americas,Northern America
Uruguay,1964,52.7,68.67,2.86,2665387,10987968920,Americas,South America
Venezuela,1964,54.2,62.51,6.5,9476255,53173803147,Americas,South America
Antigua and Barbuda,1965,NA,65.23,4.19,59653,NA,Americas,Caribbean
Argentina,1965,59.11,65.95,3.06,22283389,130560392722,Americas,South America
Aruba,1965,NA,67.44,3.84,57360,NA,Americas,Caribbean
Bahamas,1965,NA,63.4,4.06,140049,2153375599,Americas,Caribbean
Barbados,1965,51.7,64.2,3.96,235373,1022935828,Americas,Caribbean
Belize,1965,NA,62.95,6.4,106121,110094728,Americas,Central America
Bolivia,1965,159.4,45.62,6.59,4070590,3810638169,Americas,South America
Brazil,1965,114.5,57.66,5.82,84130061,131490572734,Americas,South America
Canada,1965,23.1,71.74,3.15,19693538,222038801086,Americas,Northern America
Chile,1965,96.5,59.03,5,8612074,16868577798,Americas,South America
Colombia,1965,80.9,60.7,6.56,19144220,23858682287,Americas,South America
Costa Rica,1965,68.8,64.8,6.63,1589625,3079354166,Americas,Central America
Cuba,1965,39.5,66.99,4.62,7951928,NA,Americas,Caribbean
Dominican Republic,1965,94.6,57.28,7.05,3878952,3435518212,Americas,Caribbean
Ecuador,1965,107,57.02,6.55,5250120,4467234895,Americas,South America
El Salvador,1965,115.5,55.4,6.64,3197865,5595259457,Americas,Central America
Greenland,1965,NA,63.34,6.96,37963,NA,Americas,Northern America
Grenada,1965,NA,62.76,5.6,94579,NA,Americas,Caribbean
Guatemala,1965,132.6,49.73,6.4,4728203,5152670837,Americas,Central America
Guyana,1965,58.3,59.92,5.27,650379,441056121.4,Americas,South America
Haiti,1965,179.1,44.93,6.18,4271133,NA,Americas,Caribbean
Honduras,1965,120.5,51.35,7.44,2352637,1926499597,Americas,Central America
Jamaica,1965,52.4,68.73,5.82,1763436,NA,Americas,Caribbean
Mexico,1965,87.6,59.78,6.77,44623041,133686930877,Americas,Central America
Nicaragua,1965,126.6,54.88,7.01,2062633,2589699300,Americas,Central America
Panama,1965,59,64.21,5.64,1314627,2865104694,Americas,Central America
Paraguay,1965,60,67.87,6.36,2170853,1558360064,Americas,South America
Peru,1965,118.2,51.79,6.75,11607684,22071787233,Americas,South America
Puerto Rico,1965,NA,69.72,3.89,2577530,13496888757,Americas,Caribbean
St. Lucia,1965,NA,60.15,6.69,96303,NA,Americas,Caribbean
St. Vincent and the Grenadines,1965,NA,62.46,6.76,85972,113925535.2,Americas,Caribbean
Suriname,1965,NA,62.65,6.3,331799,NA,Americas,South America
Trinidad and Tobago,1965,48.8,65.17,4.43,912419,3770236777,Americas,Caribbean
United States,1965,23.3,70.41,2.93,199403532,3162742602840,Americas,Northern America
Uruguay,1965,52.1,68.74,2.84,2694535,11102859567,Americas,South America
Venezuela,1965,53.1,63.09,6.37,9824694,55387357767,Americas,South America
Antigua and Barbuda,1966,NA,65.63,4.13,60818,NA,Americas,Caribbean
Argentina,1966,58.89,66.08,3.05,22608747,129699051637,Americas,South America
Aruba,1966,NA,67.76,3.63,57712,NA,Americas,Caribbean
Bahamas,1966,NA,63.65,3.89,146364,2348728284,Americas,Caribbean
Barbados,1966,49.2,64.64,3.81,236043,1063887746,Americas,Caribbean
Belize,1966,NA,63.53,6.38,109344,115347208,Americas,Central America
Bolivia,1966,156.5,45.99,6.59,4152665,4058226603,Americas,South America
Brazil,1966,112.1,58.07,5.66,86494987,136947905157,Americas,South America
Canada,1966,22.1,71.86,2.81,20041006,236659979328,Americas,Northern America
Chile,1966,87.4,59.54,4.8,8802926,18555706498,Americas,South America
Colombia,1966,79,61.16,6.42,19721464,25128529190,Americas,South America
Costa Rica,1966,66.3,65.33,6.33,1642189,3321721143,Americas,Central America
Cuba,1966,39.2,67.6,4.54,8110428,NA,Americas,Caribbean
Dominican Republic,1966,92.8,58.02,6.9,4001377,3898053873,Americas,Caribbean
Ecuador,1966,104.6,57.47,6.49,5405692,4463233149,Americas,South America
El Salvador,1966,113.6,55.93,6.57,3290397,5995943686,Americas,Central America
Greenland,1966,NA,63.71,7,39616,NA,Americas,Northern America
Grenada,1966,NA,63.16,5.3,94878,NA,Americas,Caribbean
Guatemala,1966,129.9,50.43,6.36,4858880,5436691407,Americas,Central America
Guyana,1966,57.3,60.09,5.23,662332,464137796.3,Americas,South America
Haiti,1966,176,45.43,6.11,4357482,NA,Americas,Caribbean
Honduras,1966,116.7,52.02,7.44,2420234,2030026643,Americas,Central America
Jamaica,1966,50.8,69.17,5.82,1786547,4923668568,Americas,Caribbean
Mexico,1966,86,60.15,6.77,46010959,141836672410,Americas,Central America
Nicaragua,1966,125,55.74,6.98,2125233,2675188806,Americas,Central America
Panama,1966,57.6,64.7,5.56,1353805,3080540665,Americas,Central America
Paraguay,1966,59.6,68.11,6.28,2229373,1576475781,Americas,South America
Peru,1966,114.8,52.38,6.68,11941327,23924687146,Americas,South America
Puerto Rico,1966,NA,70.03,3.7,2609261,14449829269,Americas,Caribbean
St. Lucia,1966,NA,60.58,6.61,97877,NA,Americas,Caribbean
St. Vincent and the Grenadines,1966,NA,63.06,6.63,86860,113925535.2,Americas,Caribbean
Suriname,1966,NA,63.07,6.18,341137,NA,Americas,South America
Trinidad and Tobago,1966,47.7,65.31,4.2,919902,3923188550,Americas,Caribbean
United States,1966,22.7,70.43,2.71,201629471,3368320872025,Americas,Northern America
Uruguay,1966,51.7,68.78,2.83,2722874,11442924162,Americas,South America
Venezuela,1966,52.2,63.66,6.2,10175143,56223845461,Americas,South America
Antigua and Barbuda,1967,NA,66.03,4.04,62002,NA,Americas,Caribbean
Argentina,1967,58.73,66.26,3.05,22932201,133839040988,Americas,South America
Aruba,1967,NA,68.1,3.42,58049,NA,Americas,Caribbean
Bahamas,1967,NA,63.91,3.75,152607,2574161953,Americas,Caribbean
Barbados,1967,47.1,65.08,3.64,236620,1177044296,Americas,Caribbean
Belize,1967,78.2,64.11,6.36,112699,121014360,Americas,Central America
Bolivia,1967,153.6,46.34,6.59,4237126,4338604114,Americas,South America
Brazil,1967,109.8,58.49,5.49,88853679,143679258550,Americas,South America
Canada,1967,21.2,72.07,2.6,20389445,243559352224,Americas,Northern America
Chile,1967,79,60.07,4.59,8995410,19231279565,Americas,South America
Colombia,1967,77.1,61.6,6.25,20311369,26181574241,Americas,South America
Costa Rica,1967,64.6,65.85,6,1694711,3509402571,Americas,Central America
Cuba,1967,39.3,68.2,4.43,8263547,NA,Americas,Caribbean
Dominican Republic,1967,91.1,58.75,6.74,4125107,4027763264,Americas,Caribbean
Ecuador,1967,102.4,57.89,6.42,5566057,4775389321,Americas,South America
El Salvador,1967,111.8,56.41,6.49,3383674,6321933985,Americas,Central America
Greenland,1967,NA,64.08,6.4,41360,NA,Americas,Northern America
Grenada,1967,NA,63.54,5.04,94962,NA,Americas,Caribbean
Guatemala,1967,127.1,51.16,6.32,4993104,5660257704,Americas,Central America
Guyana,1967,56.6,60.25,5.19,671986,484158945.8,Americas,South America
Haiti,1967,172.9,45.9,6.03,4445531,NA,Americas,Caribbean
Honduras,1967,113.1,52.68,7.42,2486288,2151372356,Americas,Central America
Jamaica,1967,49.3,69.58,5.79,1807640,5012719935,Americas,Caribbean
Mexico,1967,84.1,60.53,6.78,47429553,150141103029,Americas,Central America
Nicaragua,1967,123.1,56.6,6.96,2189880,2861636460,Americas,Central America
Panama,1967,56.2,65.18,5.47,1393800,3344416101,Americas,Central America
Paraguay,1967,59.3,68.37,6.17,2289579,1710726966,Americas,South America
Peru,1967,111.6,53.03,6.61,12282081,24827773150,Americas,South America
Puerto Rico,1967,NA,70.36,3.53,2634348,15357479694,Americas,Caribbean
St. Lucia,1967,NA,61,6.51,99526,NA,Americas,Caribbean
St. Vincent and the Grenadines,1967,NA,63.58,6.49,87736,103075477.2,Americas,Caribbean
Suriname,1967,NA,63.49,6.05,350755,NA,Americas,South America
Trinidad and Tobago,1967,46.7,65.41,3.99,925918,4003320233,Americas,Caribbean
United States,1967,22,70.76,2.56,203713082,3452528893825,Americas,Northern America
Uruguay,1967,51.2,68.8,2.83,2750093,11024475409,Americas,South America
Venezuela,1967,51.3,64.22,6.01,10528054,57817155664,Americas,South America
Antigua and Barbuda,1968,NA,66.41,3.94,63176,NA,Americas,Caribbean
Argentina,1968,58.58,66.47,3.05,23261273,140293429800,Americas,South America
Aruba,1968,NA,68.44,3.23,58385,NA,Americas,Caribbean
Bahamas,1968,25,64.14,3.64,158629,2790951804,Americas,Caribbean
Barbados,1968,45.1,65.5,3.46,237199,1258517199,Americas,Caribbean
Belize,1968,75.5,64.67,6.34,116061,129929752,Americas,Central America
Bolivia,1968,150.6,46.69,6.59,4324066,3810638169,Americas,South America
Brazil,1968,107.4,58.91,5.33,91213009,160097893161,Americas,South America
Canada,1968,20.2,72.23,2.46,20739031,256456652565,Americas,Northern America
Chile,1968,72.7,60.61,4.39,9187592,19952775457,Americas,South America
Colombia,1968,74.9,62.03,6.05,20905061,27864380352,Americas,South America
Costa Rica,1968,63.5,66.35,5.66,1746870,3803666600,Americas,Central America
Cuba,1968,39.5,68.78,4.31,8413329,NA,Americas,Caribbean
Dominican Republic,1968,89.3,59.47,6.56,4250026,4037383996,Americas,Caribbean
Ecuador,1968,100.3,58.32,6.34,5730908,4886444434,Americas,South America
El Salvador,1968,110.1,56.84,6.4,3477702,6526555576,Americas,Central America
Greenland,1968,NA,64.45,5.85,43100,NA,Americas,Northern America
Grenada,1968,NA,63.91,4.84,94875,NA,Americas,Caribbean
Guatemala,1968,124.2,51.93,6.29,5131461,6156437883,Americas,Central America
Guyana,1968,56,60.43,5.15,680068,489120740,Americas,South America
Haiti,1968,169.8,46.33,5.94,4534233,NA,Americas,Caribbean
Honduras,1968,109.5,53.34,7.38,2552200,2293323844,Americas,Central America
Jamaica,1968,47.9,69.99,5.72,1827989,5300657195,Americas,Caribbean
Mexico,1968,82,60.91,6.78,48893607,164289317789,Americas,Central America
Nicaragua,1968,121.1,57.47,6.94,2256779,2900067094,Americas,Central America
Panama,1968,54.7,65.65,5.38,1434660,3576148209,Americas,Central America
Paraguay,1968,58.9,68.63,6.04,2350900,1764594760,Americas,South America
Peru,1968,108.7,53.74,6.52,12629333,24915797888,Americas,South America
Puerto Rico,1968,NA,70.7,3.38,2656275,16087074773,Americas,Caribbean
St. Lucia,1968,NA,61.45,6.39,101181,NA,Americas,Caribbean
St. Vincent and the Grenadines,1968,NA,64.04,6.35,88615,109785379.3,Americas,Caribbean
Suriname,1968,NA,63.89,5.92,359735,NA,Americas,South America
Trinidad and Tobago,1968,45.7,65.5,3.8,931466,4212099333,Americas,Caribbean
United States,1968,21.3,70.42,2.47,205687611,3618250280729,Americas,Northern America
Uruguay,1968,50.5,68.82,2.84,2774771,11232718019,Americas,South America
Venezuela,1968,50.3,64.77,5.81,10881995,62059334863,Americas,South America
Antigua and Barbuda,1969,NA,66.81,3.82,64307,NA,Americas,Caribbean
Argentina,1969,60,66.72,3.06,23605992,153873168802,Americas,South America
Aruba,1969,NA,68.78,3.05,58724,NA,Americas,Caribbean
Bahamas,1969,25.5,64.39,3.57,164250,3041625635,Americas,Caribbean
Barbados,1969,43.1,65.91,3.28,237911,1353137616,Americas,Caribbean
Belize,1969,72.8,65.21,6.32,119260,136564464,Americas,Central America
Bolivia,1969,147.5,47.05,6.59,4413584,3928616028,Americas,South America
Brazil,1969,105,59.31,5.17,93585746,175684746848,Americas,South America
Canada,1969,19.4,72.39,2.41,21089228,269946274608,Americas,Northern America
Chile,1969,69.1,61.17,4.2,9377005,20645399593,Americas,South America
Colombia,1969,72.7,62.43,5.83,21490948,29681398501,Americas,South America
Costa Rica,1969,62.7,66.84,5.32,1798315,4015824845,Americas,Central America
Cuba,1969,39,69.32,4.18,8563191,NA,Americas,Caribbean
Dominican Republic,1969,87.5,60.16,6.38,4376056,4477113494,Americas,Caribbean
Ecuador,1969,98.2,58.76,6.24,5899842,5152577965,Americas,South America
El Salvador,1969,108.4,57.24,6.3,3572667,6754033315,Americas,Central America
Greenland,1969,NA,64.82,4.58,44703,NA,Americas,Northern America
Grenada,1969,NA,64.27,4.69,94682,NA,Americas,Caribbean
Guatemala,1969,121.2,52.72,6.26,5274726,6448062749,Americas,Central America
Guyana,1969,55.6,60.59,5.11,687658,523331735.6,Americas,South America
Haiti,1969,166.6,46.73,5.85,4622209,NA,Americas,Caribbean
Honduras,1969,105.8,54,7.33,2620014,2308355180,Americas,Central America
Jamaica,1969,46.3,70.36,5.62,1849463,5596151546,Americas,Caribbean
Mexico,1969,79.8,61.32,6.76,50423127,169905745308,Americas,Central America
Nicaragua,1969,118.9,58.33,6.92,2326136,3080964693,Americas,Central America
Panama,1969,53.2,66.15,5.28,1476478,3881137437,Americas,Central America
Paraguay,1969,58.4,68.9,5.89,2412565,1837339143,Americas,South America
Peru,1969,106,54.52,6.42,12982444,25861265879,Americas,South America
Puerto Rico,1969,NA,71.03,3.25,2680190,17511522308,Americas,Caribbean
St. Lucia,1969,NA,61.94,6.25,102747,NA,Americas,Caribbean
St. Vincent and the Grenadines,1969,57.5,64.46,6.19,89518,112926181.2,Americas,Caribbean
Suriname,1969,NA,64.28,5.79,366845,NA,Americas,South America
Trinidad and Tobago,1969,44.8,65.6,3.66,937846,4327118341,Americas,Caribbean
United States,1969,20.6,70.66,2.46,207599308,3730416039432,Americas,Northern America
Uruguay,1969,49.6,68.84,2.87,2795044,11891487796,Americas,South America
Venezuela,1969,49.2,65.3,5.61,11235492,62497496638,Americas,South America
Antigua and Barbuda,1970,NA,67.19,3.68,65369,NA,Americas,Caribbean
Argentina,1970,59.5,67.01,3.07,23973062,158559596721,Americas,South America
Aruba,1970,NA,69.14,2.91,59065,NA,Americas,Caribbean
Bahamas,1970,26,64.61,3.53,169356,2869784437,Americas,Caribbean
Barbados,1970,41.1,66.31,3.11,238847,1481812925,Americas,Caribbean
Belize,1970,70.3,65.72,6.3,122179,143130064,Americas,Central America
Bolivia,1970,144.4,47.44,6.58,4505774,3909176407,Americas,South America
Brazil,1970,102.5,59.73,5.02,95982453,191092206861,Americas,South America
Canada,1970,18.5,72.58,2.31,21439200,276920125854,Americas,Northern America
Chile,1970,67.6,61.74,4.02,9561868,21083602246,Americas,South America
Colombia,1970,70.4,62.83,5.6,22061214,31746189470,Americas,South America
Costa Rica,1970,61.2,67.34,5.01,1848873,4317137578,Americas,Central America
Cuba,1970,37.4,69.84,4.03,8715123,15468957115,Americas,Caribbean
Dominican Republic,1970,85.7,60.83,6.18,4503114,5293142768,Americas,Caribbean
